Date,Trade Volume,Trade Value,Opening Price,Highest Price,Lowest Price,Closing Price,Change,Transaction,Mark
2026/04/01,"46,457,423","85,667,372,522","1,840.00","1,855.00","1,830.00","1,855.00",+95.00,"103,263",
2026/04/02,"29,332,490","53,540,295,381","1,865.00","1,865.00","1,805.00","1,810.00",-45.00,"189,628",
2026/04/07,"19,895,445","36,785,851,775","1,850.00","1,860.00","1,835.00","1,860.00",+50.00,"72,329",
2026/04/08,"53,813,263","104,453,237,705","1,935.00","1,950.00","1,925.00","1,950.00",+90.00,"169,595",
2026/04/09,"36,054,784","70,112,621,815","1,945.00","1,955.00","1,930.00","1,955.00",+5.00,"90,439",
2026/04/10,"39,096,242","77,669,362,959","1,975.00","2,000.00","1,970.00","2,000.00",+45.00,"125,121",
2026/04/13,"31,882,568","63,311,620,986","1,985.00","1,995.00","1,975.00","1,990.00",-10.00,"123,461",
2026/04/14,"46,188,401","93,890,695,630","2,015.00","2,055.00","2,010.00","2,055.00",+65.00,"175,477",
2026/04/15,"46,824,833","97,435,290,780","2,065.00","2,100.00","2,060.00","2,080.00",+25.00,"144,126",
2026/04/16,"35,974,352","74,662,997,629","2,080.00","2,090.00","2,055.00","2,085.00",+5.00,"121,077",
2026/04/17,"44,433,257","90,757,552,556","2,055.00","2,060.00","2,030.00","2,030.00",-55.00,"254,377",
2026/04/20,"30,566,172","62,379,639,275","2,030.00","2,055.00","2,025.00","2,025.00",-5.00,"99,020",
2026/04/21,"28,055,761","57,761,069,758","2,050.00","2,075.00","2,045.00","2,050.00",+25.00,"75,235",
2026/04/22,"27,457,065","56,435,407,734","2,045.00","2,070.00","2,040.00","2,050.00", 0.00,"83,438",
2026/04/23,"54,918,117","114,822,791,851","2,090.00","2,135.00","2,055.00","2,080.00",+30.00,"161,370",
2026/04/24,"52,391,785","112,917,570,260","2,110.00","2,190.00","2,105.00","2,185.00",+105.00,"174,859",
2026/04/27,"79,778,277","183,309,899,207","2,280.00","2,330.00","2,265.00","2,265.00",+80.00,"323,994",
